station,lat,lon,area,locname,floor,elev,start_at,end_at
D001,23.894972,121.542278,Hualien,東華人社院,2,41,2013-11-28,2020-11-02
D001,23.894972,121.542278,Hualien,東華人社院,2,41,2020-11-03,9999-12-31
D002,23.896278,121.539861,Hualien,東華教育學院,1,40,2013-11-28,2020-11-02
D002,23.896278,121.539861,Hualien,東華教育學院,1,40,2020-11-03,9999-12-31
D003,23.896389,121.542306,Hualien,東華圖書館,1,46,2013-11-28,9999-12-31
D004,23.894917,121.549056,Hualien,東華環境解說,1,37,2013-11-28,2022-11-23
D005,23.899222,121.541222,Hualien,東華學生活動中心,1,45,2013-11-28,9999-12-31
D006,23.895944,121.548355,Hualien,東華環境院,1,58,2015-05-26,9999-12-31
H001,24.7826,120.9957,Hsinchu,國網中心,-1,115,2014-11-06,2019-03-05
H001,24.7826,120.9957,Hsinchu,國網中心,2,115,2019-03-06,9999-12-31
H002,24.77533,121.015188,Hsinchu,竹園分隊,1,95,2014-11-06,9999-12-31
H003,24.7793,121.0084,Hsinchu,竹苑樓,-1,97,2014-11-06,2017-12-26
H004,24.7721,121.002,Hsinchu,竹村分隊,1,108,2014-11-06,9999-12-31
H005,24.7746,121.011,Hsinchu,消防局,1,103,2014-11-06,2021-03-22
H005,24.77285,121.009752,Hsinchu,新竹技術小組,1,100,2021-03-23,9999-12-31
H006,24.7738,121.0177,Hsinchu,矽導中心,1,103,2014-11-06,9999-12-31
H007,24.7616,121.0238,Hsinchu,清潔隊,1,131,2014-11-06,2019-12-09
H008,24.7842,121.0011,Hsinchu,廠房9樓,9,100,2014-12-15,9999-12-31
H009,24.7842,121.0011,Hsinchu,廠房5樓,5,100,2014-12-15,9999-12-31
H010,24.7842,121.0011,Hsinchu,廠房地下室,-1,100,2014-12-15,9999-12-31
H012,24.79802,120.987417,Hsinchu,竹科工研院,1,45,2015-03-26,2021-03-23
H013,23.1013,120.2822,Tainan,南科管理局,-1,2,2017-06-30,9999-12-31
H014,23.09,120.2853,Tainan,南科防汛中心,2,1,2017-06-30,9999-12-31
H015,23.1171,120.2706,Tainan,南科消防局,1,3,2017-06-30,9999-12-31
H016,22.8312,120.2558,Kaohsiung,路科管理局,-1,13,2017-06-30,9999-12-31
H017,22.8252,120.2787,Kaohsiung,路科汙水廠,1,8,2017-06-30,9999-12-31
H018,24.322,120.7239,Taichung,后里汙水廠,2,236,2017-08-14,9999-12-31
H019,24.2054,120.6031,Taichung,中科有眷宿舍,1,253,2017-08-14,9999-12-31
H01A,23.736512,120.395934,Yunlin,虎科汙水廠,2,21,2017-08-14,2022-05-29
H01A,23.736512,120.395934,Yunlin,虎科汙水廠,2,21,2022-05-30,9999-12-31
H01B,23.932451,120.42939,Changhua,二林管理局,1,15,2017-08-14,9999-12-31
H01C,23.947871,120.690424,Nantou,高等園區籌備處,1,98,2017-08-14,2020-12-24
H01D,24.734151,121.75691,Ilan,宜蘭科學園區,1,7,2017-10-13,2022-01-19
H01D,24.734151,121.75691,Ilan,宜蘭科學園區,1,7,2022-01-20,9999-12-31
H01E,24.463319,120.772685,Miaoli,銅鑼科學園區,1,251,2017-10-13,2022-01-18
H01E,24.463319,120.772685,Miaoli,銅鑼科學園區,1,251,2022-01-19,9999-12-31
H01F,24.707029,120.923278,Miaoli,竹南科學園區,1,59,2017-10-13,2022-01-18
H01F,24.707029,120.923278,Miaoli,竹南科學園區,1,59,2022-01-19,9999-12-31
H020,24.80407,121.044186,Hsinchu,竹科生醫園區,1,52,2017-10-13,2022-01-11
H020,24.80407,121.044186,Hsinchu,竹科生醫園區,1,52,2022-01-12,9999-12-31
H021,24.887514,121.188548,Taoyuan,龍潭科學園區,1,221,2017-10-13,2022-01-17
H021,24.887514,121.188548,Taoyuan,龍潭科學園區,1,221,2022-01-18,9999-12-31
H022,24.050244,120.435608,Changhua,鹿港龍山寺,1,5,2018-03-13,2020-09-08
H022,24.050417,120.434806,Changhua,鹿港龍山寺,1,4,2020-09-09,9999-12-31
H023,23.7482,120.2556,Yunlin,麥寮拱範宮,1,12,2018-04-03,9999-12-31
H024,22.99045,120.204309,Tainan,台南孔廟,1,18,2018-04-19,9999-12-31
H025,23.47839,120.454028,Chiayi,嘉義城隍廟,1,42,2018-04-19,9999-12-31
H026,23.5619,120.3087,Chiayi,笨港水仙宮,1,13,2018-04-19,9999-12-31
H027,25.033142,121.515966,Taipei,南門園區,1,15,2018-05-29,9999-12-31
H028,24.7753,121.0229,Hsinchu,篤行汙水廠,1,109,2020-01-08,2021-03-23
H029,22.6772,120.2915,Kaohsiung,見城工作站,1,12,2020-04-27,9999-12-31
H02A,25.0428,121.515,Taipei,台博館本館,-1,21,2020-05-29,9999-12-31
H02B,24.136276,120.685729,Taichung,台中舊火車站,1,80,2020-09-09,9999-12-31
H02C,23.936292,120.697778,Nantou,中科中興園區,1,92,2021-04-29,9999-12-31
I001,24.978476,121.320592,Taoyuan,大林消防1,1,119,2015-01-29,2018-11-08
I002,24.978476,121.320592,Taoyuan,大林消防2,1,119,2015-01-29,2018-11-08
I003,24.978476,121.320592,Taoyuan,大林消防3,1,119,2015-01-29,2018-11-08
L001,22.982507,120.245741,Tainan,裕文國小,-1,31,2012-08-31,9999-12-31
L002,23.017126,120.248426,Tainan,永信國小,1,41,2012-08-31,2020-03-23
L002,23.017126,120.248426,Tainan,永信國小,2,41,2020-03-24,9999-12-31
L003,23.015398,120.199802,Tainan,文元國小,1,39,2012-08-31,9999-12-31
L004,22.979378,120.196307,Tainan,新興國小,1,31,2012-08-31,9999-12-31
L005,22.997378,120.218641,Tainan,成功大學,1,20,2012-08-31,9999-12-31
L010,22.648,120.523,Pingtung,麟洛國小,3,26,2014-03-25,9999-12-31
L011,22.5944,120.4918,Pingtung,四維國小,2,16,2014-03-25,2020-09-01
L011,22.5944,120.4918,Pingtung,四維國小,1,16,2020-09-02,9999-12-31
L012,22.6061,120.6111,Pingtung,泰武國小,2,87,2014-04-08,9999-12-31
L013,22.1996,120.7069,Pingtung,楓林國小,1,55.8,2014-04-01,2018-07-09
L013,22.1996,120.7069,Pingtung,楓林國小,1,55.8,2018-07-10,2020-09-02
L013,22.1996,120.7069,Pingtung,楓林國小,1,55.8,2020-09-03,9999-12-31
L014,22.4711,120.5518,Pingtung,新埤國小,1,8.2,2014-04-01,9999-12-31
